  run  | cfg | numfile |           start            |            stop            |    runlength    
 11436 | 598 |       1 | 2017-05-18 19:01:31.231491 | 2017-05-18 19:06:46.091977 | 00:05:14.860486
 11435 | 598 |       1 | 2017-05-18 18:51:09.814912 | 2017-05-18 18:56:24.210817 | 00:05:14.395905
 11434 | 598 |       1 | 2017-05-18 18:45:21.211047 | 2017-05-18 18:47:44.814479 | 00:02:23.603432
 11433 | 598 |       1 | 2017-05-18 18:35:49.180698 | 2017-05-18 18:37:29.04267  | 00:01:39.861972
 11432 | 598 |       1 | 2017-05-18 18:28:35.759509 | 2017-05-18 18:31:02.890867 | 00:02:27.131358
 11431 | 598 |       1 | 2017-05-18 18:25:02.088188 | 2017-05-18 18:25:37.786036 | 00:00:35.697848
 11430 | 598 |       1 | 2017-05-18 18:19:52.916371 | 2017-05-18 18:21:38.240064 | 00:01:45.323693
 11429 | 598 |       1 | 2017-05-18 18:11:45.814656 | 2017-05-18 18:13:37.853438 | 00:01:52.038782
 11428 | 598 |       1 | 2017-05-18 18:02:49.52073  | 2017-05-18 18:08:06.272477 | 00:05:16.751747
 11427 | 598 |       1 | 2017-05-18 17:51:54.636027 | 2017-05-18 17:57:08.502303 | 00:05:13.866276
 11426 | 598 |       1 | 2017-05-18 17:31:50.084407 | 2017-05-18 17:37:03.395008 | 00:05:13.310601
 11425 | 598 |       1 | 2017-05-18 17:18:57.678306 | 2017-05-18 17:24:15.553592 | 00:05:17.875286
 11424 | 598 |       1 | 2017-05-18 17:04:12.803966 | 2017-05-18 17:09:28.540546 | 00:05:15.73658
 11423 | 599 |       1 | 2017-05-18 16:09:24.139991 | 2017-05-18 16:19:41.854094 | 00:10:17.714103
 11422 | 598 |       1 | 2017-05-18 15:49:07.148433 | 2017-05-18 15:54:20.392345 | 00:05:13.243912
 11421 | 597 |       1 | 2017-05-18 15:42:23.009449 | 2017-05-18 15:43:38.706785 | 00:01:15.697336
 11420 | 597 |       1 | 2017-05-18 15:27:04.290021 | 2017-05-18 15:32:19.858586 | 00:05:15.568565
 11419 | 597 |       1 | 2017-05-18 15:16:39.886745 | 2017-05-18 15:19:54.100251 | 00:03:14.213506
 11418 | 597 |       1 | 2017-05-18 15:05:41.645494 | 2017-05-18 15:11:01.751565 | 00:05:20.106071
 11417 | 596 |       1 | 2017-05-18 14:57:15.95626  | 2017-05-18 15:00:33.179891 | 00:03:17.223631
 11416 | 596 |       1 | 2017-05-18 14:51:01.540728 | 2017-05-18 14:54:16.198332 | 00:03:14.657604
 11415 | 596 |       1 |                            |                            | 
 11414 | 595 |       1 | 2017-05-18 14:35:36.556426 | 2017-05-18 14:40:53.441434 | 00:05:16.885008
 11413 | 595 |       1 | 2017-05-18 13:09:08.175007 | 2017-05-18 13:29:02.8677   | 00:19:54.692693
 11412 | 594 |       1 | 2017-05-18 13:01:37.991622 | 2017-05-18 13:03:02.190969 | 00:01:24.199347
 11411 | 593 |       1 | 2017-05-18 12:07:01.094118 | 2017-05-18 12:56:48.434826 | 00:49:47.340708
 11410 | 593 |       1 | 2017-05-18 11:44:56.637207 | 2017-05-18 11:50:22.236911 | 00:05:25.599704
 11409 | 593 |       1 | 2017-05-18 10:41:47.615268 | 2017-05-18 11:42:00.779345 | 01:00:13.164077
 11408 | 593 |       1 | 2017-05-18 10:37:00.199077 | 2017-05-18 10:39:11.910002 | 00:02:11.710925
 11407 | 593 |       1 | 2017-05-18 10:23:48.704844 | 2017-05-18 10:34:04.666029 | 00:10:15.961185
 11406 | 582 |       1 |                            |                            | 
 11405 | 593 |       1 |                            |                            | 
 11404 | 593 |       1 |                            |                            | 
 11403 | 593 |       1 |                            |                            | 
 11402 | 593 |       1 |                            |                            | 
 11401 | 592 |       1 | 2017-05-18 09:40:00.135219 | 2017-05-18 10:04:39.036516 | 00:24:38.901297
 11400 | 592 |       1 | 2017-05-18 08:21:27.163706 | 2017-05-18 09:09:08.672915 | 00:47:41.509209
 11399 | 592 |       1 | 2017-05-17 18:44:14.505312 |                            | 
 11398 | 592 |       1 | 2017-05-17 18:39:31.639513 | 2017-05-17 18:40:33.91029  | 00:01:02.270777
 11397 | 591 |       1 | 2017-05-17 18:25:34.537982 | 2017-05-17 18:25:57.713603 | 00:00:23.175621
 11396 | 591 |       1 | 2017-05-17 18:20:43.82223  | 2017-05-17 18:21:07.585731 | 00:00:23.763501
 11395 | 590 |       1 | 2017-05-17 18:13:46.880498 | 2017-05-17 18:14:21.573286 | 00:00:34.692788
 11394 | 589 |       1 |                            |                            | 
 11393 | 577 |       1 |                            |                            | 
 11392 | 588 |       1 | 2017-05-17 11:03:07.744077 | 2017-05-17 12:57:29.549979 | 01:54:21.805902
 11391 | 588 |       1 | 2017-05-17 10:57:32.225115 |                            | 
 11390 | 588 |       1 | 2017-05-17 08:23:59.490046 | 2017-05-17 10:49:15.236106 | 02:25:15.74606
 11389 | 588 |       1 | 2017-05-17 04:59:05.804908 | 2017-05-17 08:20:36.68694  | 03:21:30.882032
 11388 | 588 |       1 | 2017-05-16 21:55:10.401734 | 2017-05-17 04:55:26.315427 | 07:00:15.913693
 11387 | 587 |       1 | 2017-05-16 21:45:47.867088 | 2017-05-16 21:46:30.775779 | 00:00:42.908691
 11386 | 586 |       1 | 2017-05-16 21:14:07.812436 | 2017-05-16 21:41:21.423966 | 00:27:13.61153
 11385 | 587 |       1 | 2017-05-16 21:08:21.875719 | 2017-05-16 21:08:40.590483 | 00:00:18.714764
 11384 | 587 |       1 | 2017-05-16 21:01:44.481799 | 2017-05-16 21:01:57.73882  | 00:00:13.257021
 11383 | 586 |       1 |                            |                            | 
 11382 | 586 |       1 | 2017-05-16 19:53:59.653503 | 2017-05-16 20:15:54.738453 | 00:21:55.08495
 11381 | 586 |       1 | 2017-05-16 17:18:26.052434 | 2017-05-16 19:41:12.58685  | 02:22:46.534416
 11380 | 586 |       1 | 2017-05-16 16:47:35.223105 | 2017-05-16 17:10:35.994232 | 00:23:00.771127
 11379 | 586 |       1 |                            |                            | 
 11378 | 476 |       1 | 2017-05-16 15:51:19.948036 | 2017-05-16 15:51:32.718909 | 00:00:12.770873
 11377 | 586 |       1 | 2017-05-16 15:38:13.74291  | 2017-05-16 15:48:18.476391 | 00:10:04.733481
 11376 | 558 |       1 | 2017-05-16 14:13:37.051241 | 2017-05-16 14:13:43.618516 | 00:00:06.567275
 11375 | 558 |       1 | 2017-05-16 14:08:48.604153 | 2017-05-16 14:09:07.240815 | 00:00:18.636662
 11374 | 586 |       1 | 2017-05-16 13:16:57.197174 | 2017-05-16 14:04:53.093299 | 00:47:55.896125
 11373 | 558 |       1 |                            |                            | 
 11372 | 558 |       1 | 2017-05-16 13:08:50.438882 | 2017-05-16 13:09:26.909815 | 00:00:36.470933
 11371 | 558 |       1 | 2017-05-16 13:01:08.207535 |                            | 
 11370 | 558 |       1 | 2017-05-16 12:57:26.340577 | 2017-05-16 12:57:30.937501 | 00:00:04.596924
 11369 | 549 |       1 |                            |                            | 
 11368 | 549 |       1 |                            |                            | 
 11367 | 549 |       1 |                            |                            | 
 11366 | 549 |       1 |                            |                            | 
 11365 | 549 |       1 |                            |                            | 
 11364 | 586 |       1 |                            |                            | 
 11363 | 558 |       1 |                            |                            | 
 11362 | 558 |       1 | 2017-05-16 12:37:18.922776 | 2017-05-16 12:37:53.525297 | 00:00:34.602521
 11361 | 558 |       1 | 2017-05-16 12:32:52.579019 | 2017-05-16 12:33:25.676946 | 00:00:33.097927
 11360 | 558 |       1 | 2017-05-16 12:21:20.759333 | 2017-05-16 12:24:49.83018  | 00:03:29.070847
 11359 | 577 |       1 |                            |                            | 
 11358 | 549 |       1 |                            |                            | 
 11357 | 549 |       1 |                            |                            | 
 11356 | 549 |       1 |                            |                            | 
 11355 | 549 |       1 |                            |                            | 
 11354 | 583 |       1 | 2017-05-16 10:23:25.904172 | 2017-05-16 11:14:50.226106 | 00:51:24.321934
